id,gouvernorat_libelle,delegation_libelle,localite_libelle,latitude,longitude
585,Kébili,Souk El Ahad,Souk El Ahad,33.707500,8.971300
586,Kébili,Souk El Ahad,Zarat,33.709800,8.973600
587,Kébili,Souk El Ahad,Debebcha,33.712100,8.975900
588,Kébili,Souk El Ahad,Chebika,33.714400,8.978200
589,Kébili,Souk El Ahad,El Golaa,33.716700,8.980500
590,Kébili,Souk El Ahad,Beni Mrahil,33.719000,8.982800
591,Kébili,Souk El Ahad,El Mansoura,33.721300,8.985100
592,Kébili,Souk El Ahad,Mezaria,33.723600,8.987400
593,Kébili,Souk El Ahad,Bou Abdallah,33.725900,8.989700
594,Kébili,Souk El Ahad,Henchir Hamed,33.728200,8.992000
595,Kébili,Souk El Ahad,Touazine,33.730500,8.994300
596,Kébili,Souk El Ahad,El Ouaha,33.732800,8.996600
597,Kébili,Souk El Ahad,El Hamra,33.735100,8.998900
598,Kébili,Souk El Ahad,El Hamma,33.737400,9.001200
599,Kébili,Souk El Ahad,El Ghrarifia,33.739700,9.003500
600,Kébili,Faouar,Faouar,33.742000,9.005800
601,Kébili,Faouar,Nouail,33.744300,9.008100
602,Kébili,Faouar,El Guelta,33.746600,9.010400
603,Kébili,Faouar,Oum Souigh,33.748900,9.012700
604,Kébili,Faouar,Gharsa Ouled Yahia,33.751200,9.015000
605,Kébili,Faouar,Chnini,33.753500,9.017300
606,Kébili,Faouar,Gheribet,33.755800,9.019600
607,Kébili,Faouar,Taraoulet,33.758100,9.021900
608,Kébili,Faouar,El Borma,33.760400,9.024200
609,Kébili,Faouar,Tella,33.762700,9.026500
610,Kébili,Faouar,Sif El Melah,33.765000,9.028800
611,Kébili,Kébili Nord,Kébili Nord,33.767300,9.031100
612,Kébili,Kébili Nord,Beni Kheddache,33.769600,9.033400
613,Kébili,Kébili Nord,Ben Ghilouf,33.771900,9.035700
614,Kébili,Kébili Nord,Douz Chaambi,33.774200,9.038000
615,Kébili,Kébili Nord,Jorf,33.776500,9.040300
616,Kébili,Kébili Nord,Ras El Ma,33.778800,9.042600
617,Kébili,Kébili Nord,Sabria,33.781100,9.044900
618,Kébili,Kébili Nord,Sidi Mansour,33.783400,9.047200
619,Kébili,Kébili Nord,Souk Lahad,33.785700,9.049500
620,Kébili,Kébili Nord,Zaafrane,33.788000,9.051800
621,Kébili,Kébili Sud,Kébili Sud,33.790300,9.054100
622,Kébili,Kébili Sud,Oasis Douz,33.792600,9.056400
623,Kébili,Kébili Sud,Ghlissia,33.794900,9.058700
624,Kébili,Kébili Sud,Jemna,33.797200,9.061000
625,Kébili,Kébili Sud,Toureg Hammada,33.799500,9.063300
626,Kébili,Kébili Sud,El Ghnem,33.801800,9.065600
627,Kébili,Kébili Sud,Tenbib,33.804100,9.067900
628,Kébili,Kébili Sud,Zibane,33.806400,9.070200
629,Kébili,Kébili Sud,Cherif,33.808700,9.072500
630,Kébili,Kébili Sud,Ras El Aoued,33.811000,9.074800
631,Kébili,Kébili Sud,Kébili El Alaa,33.813300,9.077100
632,Kébili,Douz Nord,Douz Nord,33.815600,9.079400
633,Kébili,Douz Nord,Blidet,33.817900,9.081700
634,Kébili,Douz Nord,Oulad Mahmoud,33.820200,9.084000
635,Kébili,Douz Nord,Zaafrane,33.822500,9.086300
636,Kébili,Douz Nord,El Golaa,33.824800,9.088600
637,Kébili,Douz Sud,Douz Sud,33.827100,9.090900
638,Kébili,Douz Sud,Noueil,33.829400,9.093200
639,Kébili,Douz Sud,Kébili Centre,33.831700,9.095500
640,Kébili,Douz Sud,Hassine,33.834000,9.097800
641,Kébili,Douz Sud,Jemna,33.836300,9.100100
642,Kébili,Douz Sud,Toureg Hammada,33.838600,9.102400
643,Kébili,Douz Sud,El Ghnem,33.840900,9.104700
644,Kébili,Douz Sud,Tenbib,33.843200,9.107000
645,Kébili,Douz Sud,Zibane,33.845500,9.109300
646,Kébili,Douz Sud,Cherif,33.847800,9.111600
647,Kébili,Douz Sud,Ras El Aoued,33.850100,9.113900
648,Kébili,Douz Sud,Kébili El Alaa,33.852400,9.116200
651,Mahdia,Bou Merdes,Bou Merdes,35.485900,10.976100
652,Mahdia,Chebba,Chebba,35.234800,11.114400
653,Mahdia,Chorbane,Chorbane,35.245600,11.056200
